ID_Mantenimiento,Fecha,Equipo,Componentes_Reemplazados
1,05/01/2023,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico,Rodamiento"
2,08/01/2023,Compresor,"Filtro_Aire,Correa_Transmisión"
3,12/01/2023,Motor_Eléctrico,"Rodamiento,Escobillas,Ventilador_Enfriamiento"
4,15/01/2023,Bomba_Hidráulica,"Sello_Mecánico,Válvula_Control"
5,20/01/2023,Compresor,"Filtro_Aire,Válvula_Retención,Aceite_Lubricante"
6,25/01/2023,Motor_Eléctrico,"Rodamiento,Escobillas"
7,28/01/2023,Bomba_Centrífuga,"Impulsor,Sello_Mecánico,Rodamiento"
8,03/02/2023,Compresor,"Filtro_Aire,Aceite_Lubricante"
9,08/02/2023,Motor_Eléctrico,"Escobillas,Ventilador_Enfriamiento"
10,10/02/2023,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico"
11,15/02/2023,Válvula_Control,"Asiento_Válvula,Empaquetadura"
12,18/02/2023,Compresor,"Filtro_Aire,Correa_Transmisión,Aceite_Lubricante"
13,22/02/2023,Motor_Eléctrico,"Rodamiento,Ventilador_Enfriamiento"
14,25/02/2023,Bomba_Centrífuga,"Sello_Mecánico,Rodamiento"
15,01/03/2023,Cinta_Transportadora,"Rodamiento,Correa_Transmisión"
16,05/03/2023,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico,Válvula_Control"
17,08/03/2023,Compresor,"Filtro_Aire,Válvula_Retención"
18,12/03/2023,Motor_Eléctrico,"Rodamiento,Escobillas,Fusible_Protección"
19,15/03/2023,Bomba_Centrífuga,"Impulsor,Sello_Mecánico"
20,20/03/2023,Válvula_Control,"Asiento_Válvula,Empaquetadura,Actuador"
21,25/03/2023,Compresor,"Filtro_Aire,Aceite_Lubricante,Pistón"
22,28/03/2023,Motor_Eléctrico,"Rodamiento,Ventilador_Enfriamiento"
23,03/04/2023,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico"
24,08/04/2023,Cinta_Transportadora,"Rodamiento,Correa_Transmisión,Tensor"
25,12/04/2023,Compresor,"Filtro_Aire,Correa_Transmisión"
26,15/04/2023,Motor_Eléctrico,"Escobillas,Fusible_Protección"
27,20/04/2023,Bomba_Centrífuga,"Sello_Mecánico,Rodamiento,Impulsor"
28,25/04/2023,Válvula_Control,"Empaquetadura,Actuador"
29,28/04/2023,Compresor,"Filtro_Aire,Aceite_Lubricante"
30,03/05/2023,Motor_Eléctrico,"Rodamiento,Escobillas,Ventilador_Enfriamiento"
31,08/05/2023,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico,Válvula_Control"
32,12/05/2023,Cinta_Transportadora,"Rodamiento,Correa_Transmisión"
33,15/05/2023,Compresor,"Filtro_Aire,Válvula_Retención,Aceite_Lubricante"
34,20/05/2023,Motor_Eléctrico,"Rodamiento,Fusible_Protección"
35,25/05/2023,Bomba_Centrífuga,"Sello_Mecánico,Impulsor"
36,28/05/2023,Válvula_Control,"Asiento_Válvula,Empaquetadura"
37,03/06/2023,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico"
38,08/06/2023,Compresor,"Filtro_Aire,Correa_Transmisión,Pistón"
39,12/06/2023,Motor_Eléctrico,"Rodamiento,Escobillas"
40,15/06/2023,Bomba_Centrífuga,"Impulsor,Sello_Mecánico,Rodamiento"
41,20/06/2023,Cinta_Transportadora,"Rodamiento,Correa_Transmisión,Tensor"
42,25/06/2023,Compresor,"Filtro_Aire,Aceite_Lubricante"
43,28/06/2023,Motor_Eléctrico,"Ventilador_Enfriamiento,Fusible_Protección"
44,03/07/2023,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico,Válvula_Control"
45,08/07/2023,Válvula_Control,"Asiento_Válvula,Empaquetadura,Actuador"
46,12/07/2023,Compresor,"Filtro_Aire,Válvula_Retención"
47,15/07/2023,Motor_Eléctrico,"Rodamiento,Escobillas,Ventilador_Enfriamiento"
48,20/07/2023,Bomba_Centrífuga,"Sello_Mecánico,Rodamiento"
49,25/07/2023,Cinta_Transportadora,"Correa_Transmisión,Tensor"
50,28/07/2023,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico"
